order_id,customer_id,product_id,product_name,product_family,order_date,status,quantity,unit_price,amount,region,forecast_quarter,notes
SO-1000000,Dealer-D025,PROD-380,Model 380F Excavator,Excavators,2026-04-07,Invoiced,4,373709.13006612135,1494836.5202644854,Africa,Q3-2026,Agent every development say quality.
SO-1000001,Dealer-D028,PROD-D9,Model D9 Bulldozer,Dozers,2026-04-26,Delivered,6,293357.18974349496,1760143.1384609698,Asia Pacific,Q1-2026,Beautiful instead ahead despite measure ago current practice nation determine.
SO-1000002,Dealer-D011,PROD-3600,Model 3600 Engine,Engines,2026-06-24,Shipped,12,211009.2193964488,2532110.6327573857,Europe,Q4-2026,Everything thank serve civil institution everyone democratic shake bill here.
SO-1000003,Dealer-D028,PROD-D6,Model D6 Bulldozer,Dozers,2026-01-21,Delivered,10,89230.76052432403,892307.6052432403,Europe,Q4-2026,Suggest page southern role movie win her need.
SO-1000004,Dealer-D034,PROD-D9,Model D9 Bulldozer,Dozers,2026-02-20,Delivered,2,386971.8516334879,773943.7032669758,North America,Q1-2026,Peace technology officer relate animal direction eye bag do big everyone.
SO-1000005,Dealer-D044,PROD-380,Model 380F Excavator,Excavators,2026-02-02,Submitted,4,382682.63082414796,1530730.5232965918,Europe,Q4-2026,Class great prove reduce raise author play move.
SO-1000006,Dealer-D028,PROD-980,Model 980 Wheel Loader,Loaders,2026-05-28,Scheduled,1,426668.50635932304,426668.50635932304,Europe,Q4-2026,Clear here writer policy news range successful.
SO-1000007,Dealer-D025,PROD-950,Model 950 Wheel Loader,Loaders,2026-05-23,Scheduled,5,64935.2095530918,324676.047765459,Asia Pacific,Q2-2026,Director allow firm environment decision.
SO-1000008,Dealer-D036,PROD-3500,Model 3500 Engine,Engines,2026-02-08,Delivered,12,404801.3044639844,4857615.653567812,South America,Q3-2026,Then fire pretty how trip learn enter east no enjoy.
SO-1000009,Dealer-D033,PROD-950,Model 950 Wheel Loader,Loaders,2026-05-31,In Production,2,251174.99471289144,502349.9894257829,Asia Pacific,Q1-2026,Investment on gun young catch management sense technology check civil.
SO-1000010,Dealer-D008,PROD-380,Model 380F Excavator,Excavators,2026-05-27,In Production,4,58100.040025346745,232400.16010138698,South America,Q2-2026,Others his other life edge network wall quite boy.
SO-1000011,Dealer-D023,PROD-950,Model 950 Wheel Loader,Loaders,2026-06-25,On Hold,12,181498.203707854,2177978.444494248,South America,Q3-2026,Seem shoulder future fall citizen about reveal rest will seven.
SO-1000012,Dealer-D009,PROD-390,Model 390F Excavator,Excavators,2026-06-22,Shipped,8,329605.0237640883,2636840.1901127063,Asia Pacific,Q3-2026,Tree that fear police participant check several much single.
SO-1000013,Dealer-D019,PROD-390,Model 390F Excavator,Excavators,2026-05-22,Shipped,10,366658.6898573581,3666586.898573581,North America,Q2-2026,Truth out major born guy world southern dream drive note.
SO-1000014,Dealer-D009,PROD-3500,Model 3500 Engine,Engines,2026-04-30,Shipped,4,185569.36734200016,742277.4693680006,Europe,Q1-2026,Beat magazine attorney set she.
SO-1000015,Dealer-D014,PROD-D9,Model D9 Bulldozer,Dozers,2026-03-09,In Production,10,444767.79327178077,4447677.932717808,North America,Q4-2026,Process water close month parent who.
SO-1000016,Dealer-D016,PROD-3500,Model 3500 Engine,Engines,2026-06-25,Delivered,3,170499.50396975037,511498.5119092511,Africa,Q3-2026,Sense ready require human public health tonight later easy ask.
SO-1000017,Dealer-D021,PROD-320,Model 320 Excavator,Excavators,2026-02-17,Shipped,4,149101.3856197918,596405.5424791672,Africa,Q1-2026,Open discover detail audience.
SO-1000018,Dealer-D009,PROD-D9,Model D9 Bulldozer,Dozers,2026-03-09,Invoiced,3,423179.05969254,1269537.17907762,North America,Q4-2026,Arrive attack all form method everything magazine much rich think office.
SO-1000019,Dealer-D045,PROD-980,Model 980 Wheel Loader,Loaders,2026-06-24,In Production,10,192625.9645060037,1926259.6450600368,North America,Q3-2026,Six space couple best issue interest level.
SO-1000020,Dealer-D026,PROD-390,Model 390F Excavator,Excavators,2026-04-03,Delivered,6,323190.3104234393,1939141.8625406357,Asia Pacific,Q1-2026,Pull worker better I fund.
SO-1000021,Dealer-D029,PROD-380,Model 380F Excavator,Excavators,2026-05-12,Submitted,8,280563.6998956058,2244509.5991648464,Asia Pacific,Q1-2026,Eat couple large instead everything.
SO-1000022,Dealer-D003,PROD-950,Model 950 Wheel Loader,Loaders,2026-06-11,Scheduled,8,492728.140784947,3941825.126279576,North America,Q2-2026,Themselves away space task better present music.
SO-1000023,Dealer-D017,PROD-950,Model 950 Wheel Loader,Loaders,2026-01-27,In Production,10,157485.49718086745,1574854.9718086745,North America,Q1-2026,Why unit support coach.
SO-1000024,Dealer-D045,PROD-3500,Model 3500 Engine,Engines,2026-04-09,In Production,10,261384.6933458077,2613846.933458077,Asia Pacific,Q4-2026,Loss ten total clearly able hospital unit size expect.
SO-1000025,Dealer-D049,PROD-950,Model 950 Wheel Loader,Loaders,2026-02-18,Draft,1,148580.96409583598,148580.96409583598,Asia Pacific,Q1-2026,Product main couple design around save article finish anyone live.
SO-1000026,Dealer-D026,PROD-980,Model 980 Wheel Loader,Loaders,2026-03-26,Shipped,5,307421.8895161854,1537109.447580927,Europe,Q2-2026,Church whether bag control organization push dog build three east.
SO-1000027,Dealer-D041,PROD-D9,Model D9 Bulldozer,Dozers,2026-03-29,Delivered,5,178053.0357933039,890265.1789665194,Africa,Q3-2026,Always bank price north first end prove fire enter capital.
SO-1000028,Dealer-D039,PROD-980,Model 980 Wheel Loader,Loaders,2026-02-10,Delivered,8,272095.9611530534,2176767.689224427,Europe,Q3-2026,Lead upon very act perform none beyond.
SO-1000029,Dealer-D013,PROD-3500,Model 3500 Engine,Engines,2026-06-17,On Hold,3,234959.4838694956,704878.4516084868,Africa,Q1-2026,Defense enter value thing these hard citizen street region particularly.
SO-1000030,Dealer-D012,PROD-3500,Model 3500 Engine,Engines,2026-02-14,Delivered,8,479314.9074132682,3834519.259306146,North America,Q3-2026,Account stage federal professional voice care break blood network evening.
SO-1000031,Dealer-D046,PROD-980,Model 980 Wheel Loader,Loaders,2026-06-07,Invoiced,8,68251.43189510664,546011.4551608531,South America,Q2-2026,Decision garden reach table measure economy traditional anything plant stop.
SO-1000032,Dealer-D004,PROD-3500,Model 3500 Engine,Engines,2026-05-07,Submitted,4,216073.85979241246,864295.4391696498,Asia Pacific,Q4-2026,About side PM energy scientist.
SO-1000033,Dealer-D020,PROD-3500,Model 3500 Engine,Engines,2026-03-17,On Hold,3,209647.08132619289,628941.2439785786,Africa,Q1-2026,Relationship night born war real chance along hard need involve.
SO-1000034,Dealer-D010,PROD-3600,Model 3600 Engine,Engines,2026-02-20,Submitted,2,112492.09687843265,224984.1937568653,Asia Pacific,Q3-2026,Final together someone team together.
SO-1000035,Dealer-D020,PROD-950,Model 950 Wheel Loader,Loaders,2026-06-04,Submitted,5,456103.9882786288,2280519.941393144,South America,Q1-2026,Radio project government nice themselves wind.
SO-1000036,Dealer-D041,PROD-380,Model 380F Excavator,Excavators,2026-03-06,Draft,8,309739.94903054787,2477919.592244383,Africa,Q2-2026,Understand door class son computer include.
SO-1000037,Dealer-D049,PROD-D9,Model D9 Bulldozer,Dozers,2026-01-23,Invoiced,10,343531.2418663729,3435312.418663729,Europe,Q2-2026,Say forward us soon ten specific.
SO-1000038,Dealer-D036,PROD-380,Model 380F Excavator,Excavators,2026-06-22,Invoiced,8,294140.4658395131,2353123.726716105,Asia Pacific,Q4-2026,City red him although likely current truth.
SO-1000039,Dealer-D034,PROD-380,Model 380F Excavator,Excavators,2026-06-05,Scheduled,12,243943.3492309833,2927320.1907717995,South America,Q3-2026,Figure somebody dinner age cover foreign ten whom.
SO-1000040,Dealer-D036,PROD-3500,Model 3500 Engine,Engines,2026-06-01,Booked,8,280256.6239616803,2242052.991693442,Asia Pacific,Q1-2026,Go meeting quickly such former agree theory.
SO-1000041,Dealer-D001,PROD-3500,Model 3500 Engine,Engines,2026-02-16,Shipped,4,202895.97221800304,811583.8888720121,South America,Q4-2026,Condition while enter board its rock finish.
SO-1000042,Dealer-D035,PROD-3500,Model 3500 Engine,Engines,2026-04-23,Shipped,6,431212.7703622033,2587276.62217322,Asia Pacific,Q4-2026,Worker break tonight couple and job mind southern rather vote.
SO-1000043,Dealer-D012,PROD-950,Model 950 Wheel Loader,Loaders,2026-03-06,Back Ordered,4,125311.87991238257,501247.5196495303,Europe,Q3-2026,Hair attorney professional form finish summer.
SO-1000044,Dealer-D011,PROD-390,Model 390F Excavator,Excavators,2026-06-03,In Production,6,466536.7985114011,2799220.791068407,Europe,Q2-2026,Medical project for recent never court professor.
SO-1000045,Dealer-D006,PROD-320,Model 320 Excavator,Excavators,2026-01-30,In Production,5,425966.10637204745,2129830.531860237,Asia Pacific,Q1-2026,Quality total past feeling nature a expert involve.
SO-1000046,Dealer-D035,PROD-980,Model 980 Wheel Loader,Loaders,2026-05-14,Shipped,4,497686.0878766947,1990744.3515067787,Africa,Q1-2026,Parent focus kid put memory soldier where save probably exist.
SO-1000047,Dealer-D047,PROD-390,Model 390F Excavator,Excavators,2026-05-25,Booked,6,293633.42330641334,1761800.53983848,North America,Q1-2026,Friend stand seem pull different current agency each little sure authority.
SO-1000048,Dealer-D034,PROD-950,Model 950 Wheel Loader,Loaders,2026-02-22,Scheduled,8,248198.6076405908,1985588.8611247265,Africa,Q3-2026,Though offer responsibility himself hundred challenge reach throughout team.
SO-1000049,Dealer-D049,PROD-320,Model 320 Excavator,Excavators,2026-06-23,Shipped,5,484887.8236398833,2424439.1181994164,Europe,Q1-2026,Sing despite sound receive let.
SO-1000050,Dealer-D028,PROD-D10,Model D10 Bulldozer,Dozers,2026-05-05,Delivered,3,117734.6712485361,353204.01374560833,Asia Pacific,Q3-2026,Eat summer lead soon property write other wear through partner.
SO-1000051,Dealer-D017,PROD-380,Model 380F Excavator,Excavators,2026-03-23,Delivered,10,196620.4029040024,1966204.0290400242,Europe,Q1-2026,Interview trade knowledge city technology late seem style everyone.
SO-1000052,Dealer-D039,PROD-320,Model 320 Excavator,Excavators,2026-01-08,Shipped,5,263995.716869072,1319978.58434536,Europe,Q3-2026,Machine dream key require doctor from throw ball character him.
SO-1000053,Dealer-D027,PROD-320,Model 320 Excavator,Excavators,2026-04-08,Invoiced,6,290023.9829444132,1740143.8976664792,Africa,Q2-2026,Relationship ask imagine my indeed deal.
SO-1000054,Dealer-D011,PROD-980,Model 980 Wheel Loader,Loaders,2026-01-05,In Production,1,356340.1518322185,356340.1518322185,South America,Q4-2026,Hope show watch affect thing offer local wall fear.
SO-1000055,Dealer-D006,PROD-3500,Model 3500 Engine,Engines,2026-04-25,Submitted,3,280806.0872662389,842418.2617987166,Asia Pacific,Q4-2026,Table well industry section national owner determine detail.
SO-1000056,Dealer-D006,PROD-980,Model 980 Wheel Loader,Loaders,2026-04-12,In Production,1,303220.26456005266,303220.26456005266,Europe,Q3-2026,Magazine home protect something right subject try wonder move.
SO-1000057,Dealer-D050,PROD-3500,Model 3500 Engine,Engines,2026-06-28,In Production,5,491332.7046125432,2456663.5230627162,Europe,Q3-2026,Option production base investment term consider employee force.
SO-1000058,Dealer-D047,PROD-390,Model 390F Excavator,Excavators,2026-05-15,Submitted,3,140213.53198778126,420640.59596334375,Asia Pacific,Q1-2026,Force seven here sell story edge bank affect much.
SO-1000059,Dealer-D017,PROD-3500,Model 3500 Engine,Engines,2026-04-23,Submitted,1,451890.59233793675,451890.59233793675,Europe,Q3-2026,Difference attention whatever American all easy stuff perform.
SO-1000060,Dealer-D005,PROD-980,Model 980 Wheel Loader,Loaders,2026-04-24,Delivered,6,359474.9190937523,2156849.5145625137,South America,Q2-2026,Call prove nor design record short cold.
SO-1000061,Dealer-D021,PROD-3600,Model 3600 Engine,Engines,2026-06-18,Shipped,10,379873.035436997,3798730.35436997,Europe,Q3-2026,White responsibility sing clearly find official up office traditional heart.
SO-1000062,Dealer-D050,PROD-D10,Model D10 Bulldozer,Dozers,2026-01-26,Draft,1,90415.4694272483,90415.4694272483,Europe,Q1-2026,Away real physical big significant sure.
SO-1000063,Dealer-D036,PROD-D9,Model D9 Bulldozer,Dozers,2026-02-06,Draft,1,81063.29339953233,81063.29339953233,Africa,Q4-2026,South someone not American mouth product attention positive actually information.
SO-1000064,Dealer-D009,PROD-3500,Model 3500 Engine,Engines,2026-06-13,Submitted,3,326121.85140685627,978365.5542205689,North America,Q2-2026,Black whether player stock religious itself safe whole establish.
SO-1000065,Dealer-D046,PROD-390,Model 390F Excavator,Excavators,2026-06-07,Shipped,6,187761.80339581694,1126570.8203749016,Asia Pacific,Q1-2026,Simple let stay or focus early various everything late seek.
SO-1000066,Dealer-D045,PROD-3600,Model 3600 Engine,Engines,2026-02-14,Scheduled,3,285159.4697015353,855478.4091046059,North America,Q3-2026,Particular her agreement surface consider deep something future they red.
SO-1000067,Dealer-D034,PROD-D6,Model D6 Bulldozer,Dozers,2026-05-04,Submitted,6,72601.70515878819,435610.2309527291,Africa,Q4-2026,New might course drop image new drive.
SO-1000068,Dealer-D047,PROD-3600,Model 3600 Engine,Engines,2026-02-08,On Hold,3,411567.2344835981,1234701.7034507943,Europe,Q2-2026,Position make society behavior develop reality fill ok list.
SO-1000069,Dealer-D029,PROD-980,Model 980 Wheel Loader,Loaders,2026-02-22,Delivered,8,151713.04901719987,1213704.392137599,Africa,Q1-2026,Gas you nearly goal law fill discover return firm sea.
SO-1000070,Dealer-D021,PROD-380,Model 380F Excavator,Excavators,2026-02-22,Submitted,3,341517.85069573775,1024553.5520872133,North America,Q3-2026,Course school everybody operation set others.
SO-1000071,Dealer-D023,PROD-D6,Model D6 Bulldozer,Dozers,2026-01-10,Submitted,4,331152.7382552311,1324610.9530209245,South America,Q2-2026,Strategy fast guess few remain.
SO-1000072,Dealer-D050,PROD-390,Model 390F Excavator,Excavators,2026-02-22,Shipped,10,180486.55352462406,1804865.5352462407,Asia Pacific,Q1-2026,Ever window network recently call than.
SO-1000073,Dealer-D023,PROD-D10,Model D10 Bulldozer,Dozers,2026-01-12,Invoiced,8,121380.86503687008,971046.9202949606,South America,Q3-2026,Bill activity expect long future whole education technology box.
SO-1000074,Dealer-D011,PROD-D9,Model D9 Bulldozer,Dozers,2026-02-18,Shipped,12,50060.611852018395,600727.3422242207,South America,Q2-2026,Husband available picture approach chance.
SO-1000075,Dealer-D032,PROD-950,Model 950 Wheel Loader,Loaders,2026-02-07,Invoiced,1,78210.32972983964,78210.32972983964,North America,Q2-2026,We be easy newspaper indicate other peace simply herself training.
SO-1000076,Dealer-D005,PROD-D9,Model D9 Bulldozer,Dozers,2026-03-05,Scheduled,12,212105.26346019254,2545263.16152231,Europe,Q2-2026,Team wrong figure perform participant science way.
SO-1000077,Dealer-D044,PROD-390,Model 390F Excavator,Excavators,2026-04-10,In Production,2,451342.4651648306,902684.9303296612,North America,Q2-2026,Personal enough ball dream necessary choose.
